"1","меня нужно записать на урок"
"3","какие сервисы можете предоставить"
"3","какие сервисы предлагаете"
"2","скажи что-нибудь подробнее"
"3","что можете рассказать про услуги"
"3","какие услуги предлагаете"
"2","расскажите ещё"
"1","получить занятие по английскому"
"4","хочу проверить мой уровень английского"
"4","хочу проверить какой уровень английского у меня"
"3","что можешь рассказать про сервисы"
"2","говрори детальнее"
"4","проверь мой уровень английского"
"3","что вы предлагаете"
"3","какие услуги можете предложить"
"1","нужно организовать урок по английскому"
"4","проверь мой уровень"
"3","какие услуги предлагаете"
"1","надо пройти урок по английскому"
"1","мне нужна запись на урок"
"3","какие можете предложить услуги"
"2","расскажите больше"
"3","какие есть услуги"
"4","хочу узнать какой у меня уровень"
"3","что предлагаете за услуги"
"1","запиши на урок"
"3","что расскажете про услуги"
"1","хочу запись на урок"
"1","запишите меня на занятие"
"4","хочу проверить какой у меня уровень"
"4","проверь какой у меня уровень английского"
"1","надо пройти занятие по английскому"
"1","нужно организовать урок"
"2","подробнее"
"1","хочу заняться английским"
"4","хочу проверить уровень"
"4","хочу узнать свой уровень английского"
"1","пройти урок по английскому"
"3","какие предлагаете сервисы"
"3","какие сервисы предоставляете"
"1","получить урок по английскому"
"4","узнать какой у меня уровень английского"
"3","какие услуги вы предлагаете"
"2","поподробнее"
"4","узнать мой уровень английского"
"2","скажите что-нибудь поподробнее"
"4","проверьте какой уровень у меня"
"1","мне нужна запись на занятие"
"4","какой у меня уровень английского"
"3","услуги"
"1","нужно записаться на занятие"
"3","что предлагаете за сервисы"
"1","нужна запись на занятие"
"2","расскажи поподробнее"
"1","нужно получить занятие по английскому"
"2","расскажи подробнее"
"4","проверить мой уровень английского"
"2","скажите что-нибудь ещё"
"1","хочу занятие"
"3","какие сервисы предлагаете"
"1","нужно записаться урок по английскому"
"4","проверьте какой у меня уровень английского"
"4","узнать какой уровень английского у меня"
"2","расскажите поподробнее"
"3","какие услуги можете предоставить"
"3","какие у вас есть услуги"
"1","надо получить занятие по английскому"
"3","что вы делаете"
"2","расскажи больше"
"4","хочу проверить какой уровень у меня"
"1","когда можно позаниматься"
"2","подробнее"
"2","скажите что-нибудь больше"
"4","хочу узнать мой уровень"
"3","какие сервисы можете предложить"
"1","организовать занятие по английскому"
"4","проверь уровень"
"1","записать меня на урок"
"3","что можете рассказать про сервисы"
"4","хочу узнать мой уровень английского"
"2","говорите больше"
"1","записаться занятие по английскому"
"1","хочу позаниматься английским"
"2","расскажите поподробнее"
"3","какие можете предложить сервисы"
"4","хочу проверить свой уровень английского"
"2","скажи что-нибудь детальнее"
"1","организуй мне занятие"
"3","что расскажете про сервисы"
"2","расскажи ещё"
"2","расскажите подробнее"
"3","какие у вас услуги"
"3","про услуги"
"3","какие имеются сервисы"
"4","проверьте уровень английского"
"1","хочу организовать урок по английскому"
"4","узнать мой уровень"
"3","какие услуги можете предоставить"
"2","говорите подробнее"
"2","говори больше"
"2","скажи что-нибудь поподробнее"
"1","нужно записать на занятие"
"3","расскажите о вас"
"2","расскажи подробнее"
"4","узнать уровень английского"
"3","какие услуги можете предложить"
"1","хочу пройти урок по английскому"
"3","какие услуги у вас есть"
"3","что скажешь про сервисы"
"3","какие у вас есть сервисы"
"3","услуги"
"4","хочу узнать уровень"
"1","хочу получить урок по английскому"
"4","хочу проверить уровень английского"
"2","расскажите более подробно"
"4","проверьте мой уровень английского"
"4","проверить мой уровень"
"4","какой уровень английского у меня"
"2","расскажите подробнее"
"1","запись на урок"
"4","узнать свой уровень"
"1","пройти занятие по английскому"
"1","запишите меня на урок"
"1","запиши на занятие"
"4","хочу узнать уровень английского"
"2","а поподробнее"
"3","какие сервисы вы предоставляете"
"2","говори ещё"
"3","какие предлагаете услуги"
"2","говорите детальнее"
"4","проверь свой уровень английского"
"4","проверь какой у меня уровень"
"4","проверить какой у меня уровень"
"2","скажи что-нибудь больше"
"2","расскажи поподробнее"
"1","запись на занятие"
"4","проверить какой уровень английского у меня"
"4","проверь свой уровень"
"2","нужно больше информации"
"4","проверь какой уровень английского у меня"
"1","мне нужно организовать урок"
"2","расскажите подробности"
"2","ещё"
"4","проверь какой уровень у меня"
"1","хочу записаться на занятие"
"3","расскажи о вашей компании"
"1","записаться на урок"
"2","расскажи более подробно"
"3","какие имеются услуги"
"3","что можешь рассказать про услуги"
"4","узнать уровень"
"1","хочу на урок"
"1","записать на занятие"
"3","какие есть сервисы"
"4","проверить уровень"
"3","какие услуги вы предоставляете"
"4","проверьте мой уровень"
"2","говорите поподробнее"
"1","нужна запись на урок"
"4","проверить какой уровень у меня"
"4","проверить уровень английского"
"1","меня нужно записать на занятие"
"3","что у вас есть за сервисы"
"4","проверьте какой уровень английского у меня"
"1","хочу пройти занятие по английскому"
"1","организовать урок"
"1","записать на урок"
"1","надо получить урок по английскому"
"2","подробнее"
"4","проверьте свой уровень английского"
"3","что по услугам"
"3","какие сервисы у вас есть"
"1","организуй урок"
"1","организуйте занятие"
"3","расскажи про услуги"
"4","хочу проверить какой у меня уровень английского"
"4","проверить свой уровень"
"2","говори подробнее"
"2","дайте больше информации"
"3","что скажешь про услуги"
"1","нужно организовать занятие по английскому"
"4","проверь уровень английского"
"3","расскажите о себе"
"1","организуйте мне занятие"
"3","какие услуги предоставляете"
"4","проверьте свой уровень"
"2","скажите что-нибудь детальнее"
"4","узнать какой у меня уровень"
"1","есть свободное время для записи"
"4","узнать какой уровень у меня"
"2","расскажи детальнее"
"1","хочу записаться занятие по английскому"
"1","хочу записаться урок по английскому"
"1","когда можно позаниматься"
"2","говорите ещё"
"1","надо организовать занятие по английскому"
"1","хочу записаться на урок"
"1","нужно пройти урок по английскому"
"2","говори ещё"
"4","узнать свой уровень английского"